City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
2,Sao Filipe,CV,73.74,clear sky,14.8961,-24.4956,Hotel Xaguate
3,Lamu,KE,80.82,light rain,-2.2717,40.902,Lamu House
12,Puerto Ayora,EC,72.7,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
13,Rikitea,PF,77.99,overcast clouds,-23.1203,-134.9692,People ThankYou
14,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
17,Mananjary,MG,73.26,overcast clouds,-21.2167,48.3333,Vahiny Lodge
25,Flinders,AU,68.18,moderate rain,-34.5833,150.8552,Shellharbour Resort & Conference Centre
26,Huarmey,PE,68.02,overcast clouds,-10.0681,-78.1522,Hotel Miramar
28,Arraial Do Cabo,BR,76.26,clear sky,-22.9661,-42.0278,Pousada Porto Praia
33,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
35,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
37,Dingle,PH,84.11,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
40,Atuona,PF,78.69,light rain,-9.8,-139.0333,Villa Enata
47,Alta Floresta,BR,75.02,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
50,Hithadhoo,MV,84.49,overcast clouds,-0.6,73.0833,Scoop Guest House
52,Carlagan,PH,82.9,broken clouds,14.975,122.0456,Cabatagan Island
53,Souillac,MU,73.78,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
55,Pochutla,MX,83.82,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
57,Butaritari,KI,81.21,light rain,3.0707,172.7902,Isles Sunset Lodge
58,Bubaque,GW,78.31,clear sky,11.2833,-15.8333,"Casa Dora, Bubaque"
59,Kempsey,AU,72.95,broken clouds,-31.0833,152.8333,Park Drive Motel
61,Cidreira,BR,71.24,few clouds,-30.1811,-50.2056,Hotel Castelo
63,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
66,Channagiri,IN,77.99,clear sky,14.0333,75.9333,Sri Apsara Lodge
67,Ranong,TH,76.93,overcast clouds,9.9658,98.6348,Tinidee Hotel@Ranong
70,Gazli,UZ,65.73,overcast clouds,40.1333,63.45,
71,Jutai,BR,72.79,overcast clouds,-5.1833,-68.9,
74,Touros,BR,77.09,clear sky,-5.1989,-35.4608,INN NEW HORIZON
75,Mahebourg,MU,73.69,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
76,Ahipara,NZ,66.51,broken clouds,-35.1667,173.1667,Ahipara Holiday Park
77,Chavakkad,IN,81.75,few clouds,10.5333,76.05,Rajah Island
82,Tual,ID,83.91,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
86,Cap Malheureux,MU,73.47,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
90,Galesong,ID,80.62,overcast clouds,-5.3166,119.3661,Sapriadi Appy
91,Kisangani,CD,70.23,overcast clouds,0.5167,25.2,Grand Ramela Hotel
94,Santarem,BR,74.64,overcast clouds,-2.4431,-54.7083,Hotel Imperador
97,Simao,CN,74.71,clear sky,22.7886,100.9748,Changyu Hotel
99,Adlay,PH,84.72,overcast clouds,9.4097,125.8975,
101,Inhambane,MZ,69.84,clear sky,-23.865,35.3833,Oceano
102,Taree,AU,70.07,overcast clouds,-31.9,152.4667,All Seasons Country Lodge Taree
104,Kutum,SD,77.83,broken clouds,14.2,24.6667,Dibbo areaمنطقة دبو
106,Kapaa,US,80.58,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
107,Lazaro Cardenas,MX,79.14,clear sky,17.9583,-102.2,HOTEL QUINTA ANTIGUA
108,Praia,CV,70.88,scattered clouds,14.9215,-23.5087,LT Aparthotel
109,Port Lincoln,AU,65.48,scattered clouds,-34.7333,135.8667,Port Lincoln Hotel
111,Adrar,MR,69.51,clear sky,20.5022,-10.0711,
113,Shimoda,JP,69.08,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
116,Cravo Norte,CO,84.4,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
118,Port Augusta,AU,67.53,clear sky,-32.5,137.7667,Majestic Oasis Apartments
119,Sorong,ID,83.64,few clouds,-0.8833,131.25,Waigo Splash Hotel
120,Bandiagara,ML,84.0,clear sky,14.3501,-3.6104,Hotel de la Falaise
124,Hasaki,JP,72.28,heavy intensity rain,35.7333,140.8333,Inubosaki Kanko Hotel
125,Hanzhong,CN,68.59,overcast clouds,33.0728,107.0303,Guorui Hotel
137,Iralaya,HN,77.27,overcast clouds,15.0,-83.2333,Iglesia morava renovada
139,Neiafu,TO,79.48,broken clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
145,Jalu,LY,76.24,overcast clouds,29.0331,21.5482,صاحبة الفخامة
146,Jacareacanga,BR,77.32,overcast clouds,-6.2222,-57.7528,Casa do Ian😎
147,Laguna,US,79.75,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
150,Gandorhun,SL,77.97,overcast clouds,7.5,-11.8333,
158,Riverton,US,69.04,clear sky,40.5219,-111.9391,Ramada by Wyndham Draper
162,Faanui,PF,82.02,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
166,Simpang,ID,82.51,broken clouds,-1.2667,104.0833,
169,Careiro Da Varzea,BR,79.41,light rain,-3.2003,-59.8119,POUSADA DA ALDENORA
170,Rafsanjan,IR,66.6,overcast clouds,30.4067,55.9939,Rafsanjan Tourism Hotel
171,Alofi,NU,77.34,light rain,-19.0595,-169.9187,Taloa Heights
172,Saint George,US,84.25,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
175,Kasaragod,IN,78.82,clear sky,12.5,75.0,Thalathoor Heritage
182,Kapoeta,SS,76.8,overcast clouds,4.7717,33.5903,Eastgate Hotel
184,Guilin,CN,76.41,scattered clouds,25.2819,110.2864,Grand 0773 Hotel
185,Rio Grande,BR,68.95,scattered clouds,-32.035,-52.0986,Hotel Atlântico Rio Grande
188,Samarai,PG,84.31,overcast clouds,-10.6167,150.6667,Nuli Sapi
189,Katsuura,JP,69.82,moderate rain,35.1333,140.3,Katsuura Hotel Mikazuki
190,Lianran,CN,69.12,clear sky,24.9227,102.485,半岛酒店
