City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Port Alfred,ZA,-33.5906,26.891,57.18,89,40,1.01,scattered clouds
1,Saldanha,ZA,-33.0117,17.9442,50.05,81,0,11.52,clear sky
2,Sao Filipe,CV,14.8961,-24.4956,73.74,71,7,16.49,clear sky
3,Lamu,KE,-2.2717,40.902,80.82,82,24,10.2,light rain
4,Longonjo,AO,-12.9067,15.2533,63.88,70,94,3.27,overcast clouds
5,Clyde River,CA,70.4692,-68.5914,-1.97,84,40,10.36,light snow
6,Bluff,NZ,-46.6,168.3333,56.8,70,28,7.92,scattered clouds
7,Hilo,US,19.7297,-155.09,85.28,96,46,1.99,scattered clouds
8,Hobart,AU,-42.8794,147.3294,56.26,86,75,6.91,broken clouds
9,East London,ZA,-33.0153,27.9116,61.79,76,83,10.69,light rain
10,Santa Rosa,PH,14.3122,121.1114,89.11,76,52,12.28,broken clouds
11,Upernavik,GL,72.7868,-56.1549,24.42,77,100,4.47,overcast clouds
12,Puerto Ayora,EC,-0.7393,-90.3518,72.7,86,26,4.29,scattered clouds
13,Rikitea,PF,-23.1203,-134.9692,77.99,72,100,21.16,overcast clouds
14,Vaini,TO,-21.2,-175.2,78.96,65,20,12.66,few clouds
15,Ushuaia,AR,-54.8,-68.3,38.86,81,75,11.5,broken clouds
16,Broome,US,42.2506,-75.833,48.2,85,100,10.36,overcast clouds
17,Mananjary,MG,-21.2167,48.3333,73.26,89,92,10.27,overcast clouds
18,Thompson,CA,55.7435,-97.8558,41.16,22,0,8.05,clear sky
19,Mataura,NZ,-46.1927,168.8643,56.48,90,77,4.05,broken clouds
20,Sisimiut,GL,66.9395,-53.6735,32.72,96,100,12.1,snow
21,Dikson,RU,73.5069,80.5464,9.19,94,88,8.88,overcast clouds
22,Nikolskoye,RU,59.7035,30.7861,35.87,90,86,5.26,overcast clouds
23,Nyurba,RU,63.2842,118.3319,29.95,77,52,3.44,broken clouds
24,New Norfolk,AU,-42.7826,147.0587,55.92,83,100,2.46,overcast clouds
25,Flinders,AU,-34.5833,150.8552,68.18,89,100,7.0,moderate rain
26,Huarmey,PE,-10.0681,-78.1522,68.02,86,100,9.71,overcast clouds
27,Qaanaaq,GL,77.484,-69.3632,12.09,67,81,7.56,broken clouds
28,Arraial Do Cabo,BR,-22.9661,-42.0278,76.26,90,1,15.28,clear sky
29,Provideniya,RU,64.3833,-173.3,28.51,80,75,7.0,broken clouds
30,Aksarayskiy,RU,46.7924,48.0119,60.67,51,88,9.1,overcast clouds
31,Warah,PK,27.4481,67.7978,88.81,13,0,4.76,clear sky
32,Stepnyak,KZ,52.8339,70.7803,50.16,69,100,6.89,overcast clouds
33,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,46,6.62,light rain
34,Brae,GB,60.3964,-1.353,40.84,66,100,6.44,overcast clouds
35,Avarua,CK,-21.2078,-159.775,84.25,79,40,8.05,scattered clouds
36,Busselton,AU,-33.65,115.3333,60.24,77,12,7.47,few clouds
37,Dingle,PH,10.9995,122.6711,84.11,74,100,10.94,overcast clouds
38,Tiksi,RU,71.6872,128.8694,7.12,90,43,1.63,scattered clouds
39,Aklavik,CA,68.2191,-135.0107,31.32,88,100,8.34,overcast clouds
40,Atuona,PF,-9.8,-139.0333,78.69,76,24,21.79,light rain
41,Rundu,NA,-17.9333,19.7667,67.19,47,83,2.93,broken clouds
42,Rodez,FR,44.5,2.5833,50.31,76,0,3.44,clear sky
43,Cairns,AU,-16.9167,145.7667,86.11,71,40,12.66,scattered clouds
44,Port Elizabeth,ZA,-33.918,25.5701,52.11,88,50,7.0,light rain
45,Yellowknife,CA,62.456,-114.3525,46.92,46,40,2.3,scattered clouds
46,Vostok,RU,46.4856,135.8833,31.05,98,100,15.14,snow
47,Alta Floresta,BR,-9.8756,-56.0861,75.02,94,20,2.3,few clouds
48,Longyearbyen,SJ,78.2186,15.6401,-0.56,71,40,10.36,scattered clouds
49,Bay City,US,43.5945,-83.8889,37.62,87,100,11.5,light rain
50,Hithadhoo,MV,-0.6,73.0833,84.49,72,100,6.31,overcast clouds
51,Batetskiy,RU,58.6461,30.3027,30.42,88,10,5.46,clear sky
52,Carlagan,PH,14.975,122.0456,82.9,78,69,9.64,broken clouds
53,Souillac,MU,-20.5167,57.5167,73.78,94,40,6.91,scattered clouds
54,Codrington,AU,-38.2667,141.9667,64.2,66,100,8.23,overcast clouds
55,Pochutla,MX,15.7432,-96.4661,83.82,68,93,5.88,overcast clouds
56,Norman Wells,CA,65.282,-126.8329,42.84,56,40,11.5,scattered clouds
57,Butaritari,KI,3.0707,172.7902,81.21,82,100,17.96,light rain
58,Bubaque,GW,11.2833,-15.8333,78.31,74,6,7.72,clear sky
59,Kempsey,AU,-31.0833,152.8333,72.95,77,63,1.01,broken clouds
60,Pevek,RU,69.7008,170.3133,34.83,66,100,22.97,overcast clouds
61,Cidreira,BR,-30.1811,-50.2056,71.24,92,13,13.67,few clouds
62,Tuktoyaktuk,CA,69.4541,-133.0374,15.8,92,75,6.91,broken clouds
63,Georgetown,MY,5.4112,100.3354,84.13,92,20,4.61,few clouds
64,Okhotsk,RU,59.3833,143.3,30.02,74,96,9.08,overcast clouds
65,Kodiak,US,57.79,-152.4072,45.3,62,16,1.7,few clouds
66,Channagiri,IN,14.0333,75.9333,77.99,67,4,2.91,clear sky
67,Ranong,TH,9.9658,98.6348,76.93,80,100,0.94,overcast clouds
68,Kitui,KE,-1.367,38.0106,63.5,98,100,3.13,light rain
69,Castro,BR,-24.7911,-50.0119,62.78,92,88,4.09,overcast clouds
70,Gazli,UZ,40.1333,63.45,65.73,28,89,10.2,overcast clouds
71,Jutai,BR,-5.1833,-68.9,72.79,98,97,1.7,overcast clouds
72,High River,CA,50.5834,-113.8687,55.69,50,74,4.9,broken clouds
