City,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Hobart,AU,2022-04-25 19:40:10,-42.8794,147.3294,51.22,92,44,6.91
1,Faanui,PF,2022-04-25 19:44:31,-16.4833,-151.75,81.37,72,6,8.93
2,Hithadhoo,MV,2022-04-25 19:44:31,-0.6,73.0833,83.48,75,69,6.98
3,College,US,2022-04-25 19:44:32,64.8569,-147.8028,47.21,57,75,4.61
4,Leningradskiy,RU,2022-04-25 19:44:32,69.3833,178.4167,11.17,94,64,8.1
5,Kloulklubed,PW,2022-04-25 19:44:33,7.0419,134.2556,75.7,80,100,16.75
6,Albany,US,2022-04-25 19:43:59,42.6001,-73.9662,70.23,37,100,5.01
7,Bengkulu,ID,2022-04-25 19:44:33,-3.8004,102.2655,76.21,88,100,7.58
8,Ilulissat,GL,2022-04-25 19:44:34,69.2167,-51.1,28.42,80,100,0.0
9,Jamestown,US,2022-04-25 19:44:34,42.097,-79.2353,80.24,44,40,13.8
10,Porto Velho,BR,2022-04-25 19:44:34,-8.7619,-63.9039,87.85,70,40,2.3
11,Avarua,CK,2022-04-25 19:44:35,-21.2078,-159.775,80.65,83,20,6.91
12,Ushuaia,AR,2022-04-25 19:44:03,-54.8,-68.3,42.46,75,75,17.27
13,Bluff,NZ,2022-04-25 19:44:35,-46.6,168.3333,51.8,67,100,24.05
14,Namatanai,PG,2022-04-25 19:44:36,-3.6667,152.4333,78.66,80,100,4.47
15,Victoria,HK,2022-04-25 19:39:46,22.2855,114.1577,81.32,85,10,7.0
16,Cayenne,GF,2022-04-25 19:44:36,4.9333,-52.3333,83.08,1,84,3.44
17,Pesqueira,BR,2022-04-25 19:44:37,-8.3578,-36.6964,71.22,92,88,11.36
18,Butaritari,KI,2022-04-25 19:43:58,3.0707,172.7902,79.65,84,37,13.82
19,Punta Arenas,CL,2022-04-25 19:41:24,-53.15,-70.9167,44.71,65,40,17.27
20,Bethel,US,2022-04-25 19:44:38,41.3712,-73.414,64.38,36,40,11.5
21,Saurimo,AO,2022-04-25 19:44:38,-9.6608,20.3916,68.77,84,84,4.36
22,Masasi,TZ,2022-04-25 19:44:38,-10.7167,38.8,69.4,97,55,3.0
23,Kungurtug,RU,2022-04-25 19:44:19,50.5994,97.5228,12.11,83,16,2.8
24,Atuona,PF,2022-04-25 19:44:00,-9.8,-139.0333,78.24,79,24,15.59
25,Vardo,NO,2022-04-25 19:44:39,70.3705,31.1107,30.18,86,40,17.27
26,Tautira,PF,2022-04-25 19:44:39,-17.7333,-149.15,80.64,75,12,10.6
27,Senanga,ZM,2022-04-25 19:44:40,-16.1167,23.2667,70.97,62,98,4.9
28,Hervey Bay,AU,2022-04-25 19:44:40,-25.2986,152.8535,67.01,89,100,8.99
29,Rikitea,PF,2022-04-25 19:43:45,-23.1203,-134.9692,77.16,72,76,15.7
30,Whyalla,AU,2022-04-25 19:44:41,-33.0333,137.5833,62.49,94,100,4.61
31,Cape Town,ZA,2022-04-25 19:42:47,-33.9258,18.4232,59.41,72,0,10.36
32,Port Alfred,ZA,2022-04-25 19:43:53,-33.5906,26.891,56.17,91,30,4.0
33,Bambous Virieux,MU,2022-04-25 19:43:50,-20.3428,57.7575,75.45,78,40,11.5
34,Kiunga,PG,2022-04-25 19:44:42,-6.1219,141.2906,73.87,100,100,1.1
35,Xuddur,SO,2022-04-25 19:44:42,4.1213,43.8894,79.05,65,77,12.37
36,Ararat,AM,2022-04-25 19:44:42,39.8317,44.7049,62.94,46,28,5.01
37,Kapaa,US,2022-04-25 19:43:27,22.0752,-159.319,80.58,74,75,17.27
38,Yellowknife,CA,2022-04-25 19:41:01,62.456,-114.3525,39.72,52,75,12.66
39,Carnarvon,AU,2022-04-25 19:44:43,-24.8667,113.6333,64.47,94,0,5.75
40,Launceston,AU,2022-04-25 19:44:43,-41.45,147.1667,53.24,90,100,5.75
41,Port Elizabeth,ZA,2022-04-25 19:44:44,-33.918,25.5701,59.31,90,0,9.22
42,Le Port,RE,2022-04-25 19:44:44,-20.9373,55.2919,75.2,73,10,8.16
43,Sistranda,NO,2022-04-25 19:44:44,63.7256,8.834,40.96,66,100,13.15
44,Vaini,TO,2022-04-25 19:44:45,-21.2,-175.2,73.56,88,75,14.97
45,Qaanaaq,GL,2022-04-25 19:44:45,77.484,-69.3632,11.3,71,71,5.28
46,Necochea,AR,2022-04-25 19:44:46,-38.5473,-58.7368,61.68,45,1,6.49
47,Sept-Iles,CA,2022-04-25 19:45:46,50.2001,-66.3821,41.05,88,75,11.5
48,Tiksi,RU,2022-04-25 19:43:54,71.6872,128.8694,-5.85,100,99,3.11
49,Nuuk,GL,2022-04-25 19:42:25,64.1835,-51.7216,32.61,74,75,4.61
50,Okhotsk,RU,2022-04-25 19:45:47,59.3833,143.3,22.23,78,46,12.33
51,Gagnoa,CI,2022-04-25 19:45:47,6.1293,-5.9437,77.2,83,100,3.67
52,Leshukonskoye,RU,2022-04-25 19:45:48,64.8989,45.7622,33.73,93,100,3.91
